regional,sigla_estados_regional,provincia_eclesiastica,papel_na_provincia,tipo_circunscricao,circunscricao,ano_criacao,url_cnbb_regional,fonte_wikipedia,estado,municipio_sede,regiao,bairro,endereco,nome_da_igreja_paroquia,cnpj,canal_de_doacoes,contato,nome_do_paroco
Regional Nordeste I,CE,Província Eclesiástica de Fortaleza,sufragânea,Diocese,Diocese de Sobral,1915,https://www.cnbb.org.br/nordeste-1/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Nordeste I,CE,Província Eclesiástica de Fortaleza,sufragânea,Diocese,Diocese de Limoeiro do Norte,1938,https://www.cnbb.org.br/nordeste-1/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Nordeste I,CE,Província Eclesiástica de Fortaleza,sufragânea,Diocese,Diocese de Iguatu,1961,https://www.cnbb.org.br/nordeste-1/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Nordeste I,CE,Província Eclesiástica de Fortaleza,sufragânea,Diocese,Diocese de Crateús,1963,https://www.cnbb.org.br/nordeste-1/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Nordeste I,CE,Província Eclesiástica de Fortaleza,sufragânea,Diocese,Diocese de Itapipoca,1971,https://www.cnbb.org.br/nordeste-1/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Nordeste I,CE,Província Eclesiástica de Fortaleza,sufragânea,Diocese,Diocese de Quixadá,1971,https://www.cnbb.org.br/nordeste-1/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Nordeste I,CE,Província Eclesiástica de Fortaleza,sufragânea,Diocese,Diocese de Tianguá,1971,https://www.cnbb.org.br/nordeste-1/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Nordeste I,CE,Província Eclesiástica de Fortaleza,sufragânea,Diocese,Diocese de Baturité,2026,https://www.cnbb.org.br/nordeste-1/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Nordeste II,"AL, PB, PE, RN",Província Eclesiástica de Olinda e Recife,sede metropolitana,Arquidiocese,Arquidiocese de Olinda e Recife,1910,https://www.cnbb.org.br/nordeste-2/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Nordeste II,"AL, PB, PE, RN",Província Eclesiástica de Olinda e Recife,sufragânea,Diocese,Diocese de Floresta,1910,https://www.cnbb.org.br/nordeste-2/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Nordeste II,"AL, PB, PE, RN",Província Eclesiástica de Olinda e Recife,sufragânea,Diocese,Diocese de Pesqueira,1910,https://www.cnbb.org.br/nordeste-2/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Nordeste II,"AL, PB, PE, RN",Província Eclesiástica de Olinda e Recife,sufragânea,Diocese,Diocese de Garanhuns,1918,https://www.cnbb.org.br/nordeste-2/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Nordeste II,"AL, PB, PE, RN",Província Eclesiástica de Olinda e Recife,sufragânea,Diocese,Diocese de Nazaré,1918,https://www.cnbb.org.br/nordeste-2/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Nordeste II,"AL, PB, PE, RN",Província Eclesiástica de Olinda e Recife,sufragânea,Diocese,Diocese de Petrolina,1923,https://www.cnbb.org.br/nordeste-2/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Nordeste II,"AL, PB, PE, RN",Província Eclesiástica de Olinda e Recife,sufragânea,Diocese,Diocese de Caruaru,1948,https://www.cnbb.org.br/nordeste-2/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Nordeste II,"AL, PB, PE, RN",Província Eclesiástica de Olinda e Recife,sufragânea,Diocese,Diocese de Afogados da Ingazeira,1956,https://www.cnbb.org.br/nordeste-2/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Nordeste II,"AL, PB, PE, RN",Província Eclesiástica de Olinda e Recife,sufragânea,Diocese,Diocese de Palmares,1962,https://www.cnbb.org.br/nordeste-2/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Nordeste II,"AL, PB, PE, RN",Província Eclesiástica de Olinda e Recife,sufragânea,Diocese,Diocese de Salgueiro,2010,https://www.cnbb.org.br/nordeste-2/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Nordeste II,"AL, PB, PE, RN",Província Eclesiástica da Paraíba,sede metropolitana,Arquidiocese,Arquidiocese da Paraíba,1914,https://www.cnbb.org.br/nordeste-2/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Nordeste II,"AL, PB, PE, RN",Província Eclesiástica da Paraíba,sufragânea,Diocese,Diocese de Cajazeiras,1914,https://www.cnbb.org.br/nordeste-2/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Nordeste II,"AL, PB, PE, RN",Província Eclesiástica da Paraíba,sufragânea,Diocese,Diocese de Campina Grande,1949,https://www.cnbb.org.br/nordeste-2/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Nordeste II,"AL, PB, PE, RN",Província Eclesiástica da Paraíba,sufragânea,Diocese,Diocese de Patos,1959,https://www.cnbb.org.br/nordeste-2/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Nordeste II,"AL, PB, PE, RN",Província Eclesiástica da Paraíba,sufragânea,Diocese,Diocese de Guarabira,1980,https://www.cnbb.org.br/nordeste-2/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Nordeste II,"AL, PB, PE, RN",Província Eclesiástica de Maceió,sede metropolitana,Arquidiocese,Arquidiocese de Maceió,1920,https://www.cnbb.org.br/nordeste-2/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Nordeste II,"AL, PB, PE, RN",Província Eclesiástica de Maceió,sufragânea,Diocese,Diocese de Penedo,1916,https://www.cnbb.org.br/nordeste-2/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Nordeste II,"AL, PB, PE, RN",Província Eclesiástica de Maceió,sufragânea,Diocese,Diocese de Palmeira dos Índios,1962,https://www.cnbb.org.br/nordeste-2/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Nordeste II,"AL, PB, PE, RN",Província Eclesiástica de Natal,sede metropolitana,Arquidiocese,Arquidiocese de Natal,1952,https://www.cnbb.org.br/nordeste-2/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Nordeste II,"AL, PB, PE, RN",Província Eclesiástica de Natal,sufragânea,Diocese,Diocese de Mossoró,1934,https://www.cnbb.org.br/nordeste-2/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Nordeste II,"AL, PB, PE, RN",Província Eclesiástica de Natal,sufragânea,Diocese,Diocese de Caicó,1939,https://www.cnbb.org.br/nordeste-2/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Nordeste III,"BA, SE",Província Eclesiástica de São Salvador da Bahia,sede metropolitana,Arquidiocese,Arquidiocese de São Salvador da Bahia,1676,https://www.cnbb.org.br/nordeste-3/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Nordeste III,"BA, SE",Província Eclesiástica de São Salvador da Bahia,sufragânea,Diocese,Diocese de Ilhéus,1913,https://www.cnbb.org.br/nordeste-3/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Nordeste III,"BA, SE",Província Eclesiástica de São Salvador da Bahia,sufragânea,Diocese,Diocese de Amargosa,1941,https://www.cnbb.org.br/nordeste-3/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Nordeste III,"BA, SE",Província Eclesiástica de São Salvador da Bahia,sufragânea,Diocese,Diocese de Teixeira de Freitas-Caravelas,1962,https://www.cnbb.org.br/nordeste-3/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Nordeste III,"BA, SE",Província Eclesiástica de São Salvador da Bahia,sufragânea,Diocese,Diocese de Alagoinhas,1974,https://www.cnbb.org.br/nordeste-3/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Nordeste III,"BA, SE",Província Eclesiástica de São Salvador da Bahia,sufragânea,Diocese,Diocese de Itabuna,1978,https://www.cnbb.org.br/nordeste-3/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Nordeste III,"BA, SE",Província Eclesiástica de São Salvador da Bahia,sufragânea,Diocese,Diocese de Eunápolis,1996,https://www.cnbb.org.br/nordeste-3/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Nordeste III,"BA, SE",Província Eclesiástica de São Salvador da Bahia,sufragânea,Diocese,Diocese de Camaçari,2010,https://www.cnbb.org.br/nordeste-3/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Nordeste III,"BA, SE",Província Eclesiástica de São Salvador da Bahia,sufragânea,Diocese,Diocese de Cruz das Almas,2017,https://www.cnbb.org.br/nordeste-3/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Nordeste III,"BA, SE",Província Eclesiástica de Aracaju,sede metropolitana,Arquidiocese,Arquidiocese de Aracaju,1960,https://www.cnbb.org.br/nordeste-3/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Nordeste III,"BA, SE",Província Eclesiástica de Aracaju,sufragânea,Diocese,Diocese de Estância,1960,https://www.cnbb.org.br/nordeste-3/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Nordeste III,"BA, SE",Província Eclesiástica de Aracaju,sufragânea,Diocese,Diocese de Propriá,1960,https://www.cnbb.org.br/nordeste-3/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Nordeste III,"BA, SE",Província Eclesiástica de Vitória da Conquista,sede metropolitana,Arquidiocese,Arquidiocese de Vitória da Conquista,2002,https://www.cnbb.org.br/nordeste-3/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Nordeste III,"BA, SE",Província Eclesiástica de Vitória da Conquista,sufragânea,Diocese,Diocese de Caetité,1913,https://www.cnbb.org.br/nordeste-3/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
Regional Nordeste III,"BA, SE",Província Eclesiástica de Vitória da Conquista,sufragânea,Diocese,Diocese de Bom Jesus da Lapa,1962,https://www.cnbb.org.br/nordeste-3/,https://pt.wikipedia.org/wiki/Circunscri%C3%A7%C3%B5es_eclesi%C3%A1sticas_cat%C3%B3licas_do_Brasil,,,,,,,,,,
